Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,learning_rate,base_estimator__max_depth,random_state
sick_38,1,0.970860927152318,0.5206716060638428,0.0181899070739746,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,62,1.1531222624848538,1,0
sick_38,0,0.9536423841059604,0.5413837432861328,0.0183668136596679,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,47,1.5497560834298256,1,0
sick_38,1,0.9536423841059604,0.5288734436035156,0.0217454433441162,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,66,0.1046761262328419,1,0
sick_38,0,0.952317880794702,0.5252456665039062,0.0190191268920898,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,88,0.847598772142621,1,0
sick_38,0,0.952317880794702,0.5239737033843994,0.0184273719787597,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,44,8.452758902042971,1,0
sick_38,0,0.952317880794702,0.517850399017334,0.0181605815887451,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,44,1.0916025971071632,1,0
sick_38,0,0.952317880794702,0.5270915031433105,0.0183324813842773,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,89,2.2650851608890425,1,0
sick_38,0,0.952317880794702,0.5202882289886475,0.0185170173645019,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69,0.420462933356641,1,0
sick_38,0,0.9509933774834436,0.5187132358551025,0.0190119743347167,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,38,3.5316914690651102,1,0
sick_38,1,0.9509933774834436,0.5185375213623047,0.0186877250671386,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,64,3.514333430064909,1,0
sick_38,0,0.9509933774834436,0.5107073783874512,0.0198068618774414,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,38,1.103042117165822,1,0
sick_38,1,0.9509933774834436,0.511204719543457,0.0182671546936035,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,38,8.954217649894831,1,0
sick_38,1,0.9509933774834436,0.5180654525756836,0.0187282562255859,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,56,0.1782790985792186,1,0
sick_38,0,0.9509933774834436,0.5081398487091064,0.0181727409362792,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0.1081173344046953,2,0
sick_38,0,0.9509933774834436,0.5136756896972656,0.0184607505798339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,3.4698957222541624,1,0
sick_38,1,0.9509933774834436,0.5057449340820312,0.0186731815338134,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,36,4.114443232924267,1,0
sick_38,3,0.9509283819628648,0.5454390048980713,0.0184452533721923,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,25,0.1739460047755809,2,0
sick_38,4,0.9482758620689656,0.5345525741577148,0.0194218158721923,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,58,0.3397548507160679,2,0
