Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,kernel,degree,gamma,coef0,shrinking,tol,random_state
sick_38,1,0.9735099337748344,0.8252215385437012,0.183823823928833,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.160969615612744,linear,2,scale,0.2880923428724518,False,0.0008906293501664,0
sick_38,0,0.9629139072847682,0.7269289493560791,0.1562345027923584,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.4490595412806977,poly,4,auto,-0.1199164506192021,True,0.0001250462671697,0
sick_38,0,0.9562913907284768,0.9052934646606444,0.198068618774414,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1181288223769169,linear,2,scale,-0.0522080879586348,True,0.0034380734846719,0
sick_38,0,0.9496688741721856,0.6001560688018799,0.1336958408355713,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.263006311903057,sigmoid,4,auto,0.2002886734138071,True,0.0001413530035005,0
sick_38,0,0.9496688741721856,0.5892014503479004,0.133660078048706,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.1766617490553462,sigmoid,3,auto,-0.9620586997840312,True,0.000409905321669,0
sick_38,0,0.9496688741721856,0.5844826698303223,0.1351315975189209,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.7830350297944788,sigmoid,4,scale,0.1840534547907319,False,0.0007377613689881,0
sick_38,0,0.9496688741721856,0.7353546619415283,0.158522367477417,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.903386183663826,rbf,4,scale,0.3719437754164535,False,0.0014706986748218,0
sick_38,0,0.9496688741721856,0.7298274040222168,0.1691062450408935,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.3578228425368287,poly,3,scale,-0.176726711875695,True,0.0041195244602996,0
sick_38,0,0.9496688741721856,0.7338817119598389,0.1573712825775146,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.384251336949635,rbf,5,scale,0.1407191275703113,True,0.0001647895621647,0
sick_38,0,0.9496688741721856,0.5920062065124512,0.1355993747711181,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1340269573095152,sigmoid,3,0.019903273813415293,0.2726050472602853,True,0.0001213383656253,0
sick_38,0,0.9496688741721856,0.7294700145721436,0.1612570285797119,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.7278574796970465,rbf,3,scale,0.6523575757523655,True,0.0004669266690003,0
sick_38,4,0.946949602122016,0.7293808460235596,0.1605041027069091,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1597734705997362,sigmoid,3,0.2744637605148927,-0.4004760470317771,False,0.0016885431513047,0
sick_38,4,0.946949602122016,1.4423201084136963,0.1932015419006347,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.8089788934782285,rbf,4,scale,0.3339479852014372,True,0.0003400623522982,0
sick_38,4,0.940318302387268,0.6503555774688721,0.1396832466125488,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.6063189574960655,linear,2,auto,-0.2491444323584638,True,0.0003271175582645,0
sick_38,4,0.940318302387268,0.65395188331604,0.1397137641906738,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.3076999021915205,rbf,2,0.648376157119455,0.4783959093754409,True,0.0010233797094932,0
sick_38,4,0.940318302387268,0.5981183052062988,0.1235935688018798,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.4652774106668576,rbf,2,scale,-0.2207204577733757,True,0.000886912325364,0
sick_38,3,0.940318302387268,0.8384912014007568,0.1891622543334961,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1721903993530344,sigmoid,4,scale,-0.2558285155996065,True,0.0004442595006956,0
sick_38,4,0.940318302387268,0.6001195907592773,0.1250944137573242,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.4738634143354974,sigmoid,3,auto,0.2344363096628028,True,0.0003933928915734,0
sick_38,4,0.940318302387268,0.6517088413238525,0.1378595829010009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.800170310799878,rbf,4,scale,0.12842996495051,False,0.0005423950859032,0
sick_38,4,0.940318302387268,0.6578810214996338,0.1382951736450195,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.4054352883770567,rbf,3,scale,0.0526460686719953,True,0.0068643452196298,0
autoUniv-au6-1000_1555,3,0.355,0.0280153751373291,0.0061252117156982,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.431807854261208,rbf,2,scale,-0.3620604245780378,False,0.00306804174216,0
autoUniv-au6-1000_1555,3,0.355,0.0274581909179687,0.0061652660369873,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.3355928105022945,rbf,5,scale,-0.4713668752882138,True,0.0006039431444464,0
autoUniv-au6-1000_1555,3,0.335,0.0288128852844238,0.0060548782348632,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.3509494649495712,rbf,2,scale,-0.0091320746031573,False,0.00012317402561,0
autoUniv-au6-1000_1555,3,0.335,0.02801513671875,0.0057029724121093,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.530663274280561,poly,2,auto,0.4012312082939034,True,0.0004047883246938,0
autoUniv-au6-1000_1555,3,0.335,0.0276386737823486,0.0059072971343994,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6545050897580756,sigmoid,3,0.4565162447358945,-0.3373450294283183,True,0.0001273734107913,0
autoUniv-au6-1000_1555,3,0.335,0.0277910232543945,0.00579833984375,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.3298744622211776,rbf,2,scale,-0.4346112387894743,True,0.0004921970145502,0
